            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458870.500000000, A.D. 2020-Jan-22 00:00:00.0000, -7.670919575724341E+07,  1.271196065970129E+08, -1.506254726149142E+03, -2.601108378305249E+01, -1.551704485120631E+01,  2.280561400395342E-03,  4.952465909596852E+02,  1.484711928199246E+08,  1.533541751172614E-01,
2458871.500000000, A.D. 2020-Jan-23 00:00:00.0000, -7.894461866088437E+07,  1.257593191155593E+08, -1.307013559885323E+03, -2.573338659271652E+01, -1.597024057114452E+01,  2.321619922549978E-03,  4.952911184549799E+02,  1.484845418271876E+08,  1.556108653303954E-01,
2458872.500000000, A.D. 2020-Jan-24 00:00:00.0000, -8.115567990202914E+07,  1.243601000534888E+08, -1.106746433369815E+03, -2.544718144680352E+01, -1.641819302206079E+01,  2.304868145115435E-03,  4.953362668665786E+02,  1.484980769804756E+08,  1.576800380845617E-01,
2458873.500000000, A.D. 2020-Jan-25 00:00:00.0000, -8.334165129038660E+07,  1.229224139694541E+08, -9.102658707424998E+02, -2.515263246247112E+01, -1.686063912964266E+01,  2.234940957469789E-03,  4.953819965340321E+02,  1.485117863898849E+08,  1.596604510727268E-01,
2458874.500000000, A.D. 2020-Jan-26 00:00:00.0000, -8.550181985840322E+07,  1.214467470455997E+08, -7.218860348612070E+02, -2.484992656697230E+01, -1.729734194971569E+01,  2.118624057915852E-03,  4.954282951295899E+02,  1.485256663596492E+08,  1.616423043537337E-01,
2458875.500000000, A.D. 2020-Jan-27 00:00:00.0000, -8.763548948425338E+07,  1.199336047360451E+08, -5.452675643786788E+02, -2.453926546524361E+01, -1.772809235279482E+01,  1.964139705096457E-03,  4.954751746530871E+02,  1.485397204872282E+08,  1.637038127964542E-01,
2458876.500000000, A.D. 2020-Jan-28 00:00:00.0000, -8.974198184382774E+07,  1.183835093929172E+08, -3.833235480263829E+02, -2.422085834505047E+01, -1.815270792276087E+01,  1.780465283811594E-03,  4.955226677263463E+02,  1.485539585523986E+08,  1.659098183587670E-01,
2458877.500000000, A.D. 2020-Jan-29 00:00:00.0000, -9.182063680459720E+07,  1.167969980850985E+08, -2.381789972484112E+02, -2.389491639907290E+01, -1.857102975746383E+01,  1.576791712767367E-03,  4.955708237902913E+02,  1.485683953771763E+08,  1.683124644082935E-01,
2458878.500000000, A.D. 2020-Jan-30 00:00:00.0000, -9.387081244835839E+07,  1.151746207445654E+08, -1.111684278473258E+02, -2.356164976292921E+01, -1.898291828967117E+01,  1.362190009966291E-03,  4.956197057450659E+02,  1.485830498185500E+08,  1.709534910709695E-01,
2458879.500000000, A.D. 2020-Jan-31 00:00:00.0000, -9.589188493640371E+07,  1.135169386718835E+08, -2.852483794093132E+00, -2.322126688720403E+01, -1.938824934859226E+01,  1.145502436570744E-03,  4.956693873986159E+02,  1.485979440035853E+08,  1.738674134149937E-01,
2458880.500000000, A.D. 2020-Feb-01 00:00:00.0000, -9.788324840999031E+07,  1.118245233322442E+08,  8.696478609740734E+01, -2.287397587083278E+01, -1.978691153046393E+01,  9.354279405622279E-04,  4.957199518571588E+02,  1.486131028468993E+08,  1.770847371775428E-01,
2458881.500000000, A.D. 2020-Feb-02 00:00:00.0000, -9.984431506216292E+07,  1.100979552920683E+08,  1.592321814522147E+02, -2.251998693343412E+01, -2.017880568544683E+01,  7.407365919540609E-04,  4.957714907459902E+02,  1.486285538170646E+08,  1.806343653516471E-01,
2458882.500000000, A.D. 2020-Feb-03 00:00:00.0000, -1.017745154337520E+08,  1.083378230885960E+08,  2.156684266254306E+02, -2.215951492490631E+01, -2.056384704383886E+01,  5.705190677449679E-04,  4.958241039060879E+02,  1.486443268456535E+08,  1.845443507877532E-01,
2458883.500000000, A.D. 2020-Feb-04 00:00:00.0000, -1.036732988782129E+08,  1.065447217938687E+08,  2.587979176118970E+02, -2.179278045854485E+01, -2.094197015481280E+01,  4.343452876218734E-04,  4.958778989645416E+02,  1.486604541984556E+08,  1.888401200557181E-01,
2458884.500000000, A.D. 2020-Feb-05 00:00:00.0000, -1.055401340022353E+08,  1.047192510425984E+08,  2.919904588609934E+02, -2.142000789412854E+01, -2.131313621504198E+01,  3.421673901060629E-04,  4.959329899261824E+02,  1.486769700532594E+08,  1.935393340124502E-01,
2458885.500000000, A.D. 2020-Feb-06 00:00:00.0000, -1.073745087246525E+08,  1.028620123724130E+08,  3.194746001213789E+02, -2.104141820033542E+01, -2.167734128542803E+01,  3.037728441785958E-04,  4.959894937360366E+02,  1.486939094693020E+08,  1.986429358857280E-01,
2458886.500000000, A.D. 2020-Feb-07 00:00:00.0000, -1.091759294403319E+08,  1.009736059219344E+08,  3.462779714614153E+02, -2.065721524209231E+01, -2.203462226426134E+01,  3.276220989398837E-04,  4.960475237734709E+02,  1.487113064368623E+08,  2.041230717083992E-01,
2458887.500000000, A.D. 2020-Feb-08 00:00:00.0000, -1.109439187231865E+08,  9.905462687767150E+07,  3.780394596233964E+02, -2.026756603248944E+01, -2.238505584398876E+01,  4.190665620900091E-04,  4.961071797182148E+02,  1.487291908391714E+08,  2.099106728507729E-01,
